SAMPLE_ID,STATION,CAST,FILTER,REPLICATE,CRUISE,DEPTH,DATETIME,LATITUDE,LONGITUDE,MAX_DEPTH,BOTTLES,UP_DN,CTDPRS,CTDTMP,CTDSAL,CTDOXY,PAR,CHLA,NUMBER,QUALT1,CHLPIG,BEAM.AT,XMISS
S02C1_0_2umA,2,1,0.2,A,kok1606,15.0,2016-04-20 15:11:40,23.495833333333334,157.99433333333334,302.92,24,up,15.0,24.023000000000003,35.079,215.46,0.23,0.1066,181,222222,,,
S02C1_0_2umB,2,1,0.2,B,kok1606,15.0,2016-04-20 15:11:40,23.495833333333334,157.99433333333334,302.92,24,up,15.0,24.023000000000003,35.079,215.46,0.23,0.1066,181,222222,,,
S02C1_0_2umC,2,1,0.2,C,kok1606,15.0,2016-04-20 15:11:40,23.495833333333334,157.99433333333334,302.92,24,up,15.0,24.023000000000003,35.079,215.46,0.23,0.1066,181,222222,,,
S02C1_3umA,2,1,3.0,A,kok1606,15.0,2016-04-20 15:11:40,23.495833333333334,157.99433333333334,302.92,24,up,15.0,24.023000000000003,35.079,215.46,0.23,0.1066,181,222222,,,
S02C1_3umB,2,1,3.0,B,kok1606,15.0,2016-04-20 15:11:40,23.495833333333334,157.99433333333334,302.92,24,up,15.0,24.023000000000003,35.079,215.46,0.23,0.1066,181,222222,,,
S02C1_3umC,2,1,3.0,C,kok1606,15.0,2016-04-20 15:11:40,23.495833333333334,157.99433333333334,302.92,24,up,15.0,24.023000000000003,35.079,215.46,0.23,0.1066,181,222222,,,
S04C1_0_2umA,4,1,0.2,A,kok1606,15.0,2016-04-22 15:01:42,28.143166666666666,158.00066666666666,301.08,24,up,15.0,19.745,35.14,236.69,0.17,0.1102,119,222222,,,
S04C1_0_2umB,4,1,0.2,B,kok1606,15.0,2016-04-22 15:01:42,28.143166666666666,158.00066666666666,301.08,24,up,15.0,19.745,35.14,236.69,0.17,0.1102,119,222222,,,
S04C1_0_2umC,4,1,0.2,C,kok1606,15.0,2016-04-22 15:01:42,28.143166666666666,158.00066666666666,301.08,24,up,15.0,19.745,35.14,236.69,0.17,0.1102,119,222222,,,
S04C1_3umA,4,1,3.0,A,kok1606,15.0,2016-04-22 15:01:42,28.143166666666666,158.00066666666666,301.08,24,up,15.0,19.745,35.14,236.69,0.17,0.1102,119,222222,,,
S04C1_3umB,4,1,3.0,B,kok1606,15.0,2016-04-22 15:01:42,28.143166666666666,158.00066666666666,301.08,24,up,15.0,19.745,35.14,236.69,0.17,0.1102,119,222222,,,
